productID,price,title,bodycontent,productURL
249215678,0,Bajaj Pulsar 135LS,Bajaj,https://sg.carousell.com/p/Bajaj-Pulsar-135LS-249215678
1005314700,"5,900",BAJAJ,Bajaj,https://sg.carousell.com/p/BAJAJ-1005314700
1006633068,"4,000",Bajaj Pulsar NS 200,Bajaj,https://sg.carousell.com/p/Bajaj-Pulsar-NS-200-1006633068
286604607,"2,500",Bajaj pulsar 200 dtsi 2009,Selling bajaj pulsar 200 dtsi 2009 model. COE RENEWED FOR 10 YEARS Great economic bike gives great petrol mileage good for dispatch use. Recently changed top block and piston. Need to be changed is clutch plates and tires. I have the clucth plate will pass it to the buyer of this bike can  fix at he,https://sg.carousell.com/p/Bajaj-pulsar-200-dtsi-2009-286604607
1006624797,"3,000",Bajaj Pulsar 180,Bajaj,https://sg.carousell.com/p/Bajaj-Pulsar-180-1006624797
281632206,"7,000",Bajaj Pulsar NS200,Bajaj,https://sg.carousell.com/p/Bajaj-Pulsar-NS200-281632206
1002198937,"6,800",Bajaj Pulsar RS200 with ABS for sale,Bajaj,https://sg.carousell.com/p/Bajaj-Pulsar-RS200-with-ABS-for-sale-1002198937
1003921723,"3,900",Bajaj pulsar 200,Bajaj,https://sg.carousell.com/p/Bajaj-pulsar-200-1003921723
276709228,1,"Bajaj Pulsar RS 200 Parts, accessories and","BAJAJ PULSAR RS 200 parts, accessories and coverset for sale. Do Pm me for stock availability and price. ALL GENUINE BAJAJ PARTS GUARANTEED!! If installation needed additional , we will recommend our reliable workshop.","https://sg.carousell.com/p/Bajaj-Pulsar-RS-200-Parts,-accessories-and-276709228"
257066310,"5,800",Pulsar NS200 Carb,Bajaj,https://sg.carousell.com/p/Pulsar-NS200-Carb-257066310
1007545287,"6,800",Bajaj Pulsar Rs200 Abs wtt wts,Bajaj,https://sg.carousell.com/p/Bajaj-Pulsar-Rs200-Abs-wtt-wts-1007545287
1006647542,30,Bajaj pulsar ns200 for rent,Bajaj pulsar ns200 for rent at $30/day Monthky rental will be cheaper Insurance covered for all delivery jobs Watsapp 87665543 for any enquiry,https://sg.carousell.com/p/Bajaj-pulsar-ns200-for-rent-1006647542
280379851,"9,500",Bajaj Pulsar RS200 Graphite Black (2019 model),Bajaj,https://sg.carousell.com/p/Bajaj-Pulsar-RS200-Graphite-Black-(2019-model)-280379851
207509682,"5,000",2014 Bajaj Pulsar 200NS,Bajaj,https://sg.carousell.com/p/2014-Bajaj-Pulsar-200NS-207509682
282349556,"1,000",Kawasaki Ninja 400,Kawasaki,https://sg.carousell.com/p/Kawasaki-Ninja-400-282349556
